,frequencies,Real_mu,Im_mu,permeability,amplitudes,phases
53,35185.68564496166,78.54773188858366,13438.07181385497,10693860446.393,26.62719664566096,0.0016304004683551632
57,37697.483519409674,73.68148529823868,15361.07238497765,12224093621.517563,28.29610319940565,0.001541928197701814
55,40840.41305619409,68.05753099939706,17553.99433987015,13969129830.23979,30.46126462085571,0.0014333043272917055
54,43982.223210681266,201.93719752392954,19216.646848300115,15292965981.913542,32.476526510103376,0.004295810770566336
51,47123.283919841546,59.092720476070745,20778.483319622537,16535058509.58912,34.580485700949296,0.0012649065350050824
56,50265.95300797242,174.98961471624605,22160.553364429263,17635357829.01474,36.69769551084295,0.00376502883148108
81,959551.1760387989,2.6831649167456835,43468.12815699547,34590837362.7585,674.3774764713573,5.996976258043075e-05
69,3188672.8898222437,0.4545551184378381,56074.95006009225,44623027405.64869,2827.857238102291,8.051168545796397e-06
59,8271347.092392266,0.05080970142189959,12589.026918017382,10018029308.224998,1654.8421175022977,3.989203579677836e-06
73,12671674.097079588,0.014990708368964536,4756.045045208566,3784740390.52178,965.8726522313624,3.0892720690173655e-06
82,14555662.189593533,0.009693232848183509,3443.4531365862936,2740212938.484152,806.510461045266,2.747960498981254e-06
60,16440919.15650562,0.006591726582340208,2622.2994016874886,2086759559.0980291,696.4176165776694,2.4444176314262926e-06
85,17697126.87223809,0.005087221225208963,2175.4708710435525,1731184712.4573815,623.950051818165,2.2664880861030483e-06
64,19078881.595048252,0.0036120609849650716,1772.2367232468093,1410301173.4037607,550.3222818912617,1.9670290190158064e-06
78,19206612.314604938,0.004043386156336522,1822.468589044667,1450274422.094929,569.0328701649785,2.143771599867685e-06
91,19330589.132571306,0.0038995550061471595,1773.1045248825171,1410991748.0035985,557.5928769739071,2.1235515149349414e-06
72,19456673.458840106,0.00382776625671062,1752.4924943948572,1394589215.3160822,554.8050141883048,2.1085965890018747e-06
67,19582007.82270666,0.0037349506622183708,1719.19667314398,1368093242.6485014,548.0136527000881,2.0963828009797412e-06
87,20209877.040181167,0.003368799557030526,1590.235039766682,1265468835.5979698,524.0296649146567,2.040811284624494e-06
75,21467613.991874393,0.0026861895495114037,1358.1110627003927,1080750443.896552,477.17201616349394,1.8983021675186703e-06
65,22723553.94275192,0.0021884873811570545,1172.6920657071485,933198694.4033064,437.78158644337606,1.7843608622057874e-06
89,23981024.436423853,0.0017320216219093875,1014.5576459876548,807359321.6147323,401.3768152658161,1.6255062192252406e-06
66,25237262.056685943,0.0014331150365415608,877.8002058496347,698531208.6609306,367.18281175182506,1.5472511856112593e-06
76,26493988.733981587,0.0011600657687320384,766.6677701717778,610094826.3289756,338.26152083804743,1.4272407572939825e-06
88,27750822.97316906,0.0009692645982331188,674.1003143111132,536431985.52060384,313.0463319987142,1.349675845207295e-06
68,29007494.783078004,0.0008174535098207436,597.0367244786628,475106729.2826746,291.2389851489579,1.27892080951043e-06
77,30264255.338782776,0.0006678936707455503,524.7087555366818,417549960.4093333,268.6411963620992,1.1819104832229923e-06
74,31520113.14350006,0.0005696431299464196,466.0713251174098,370887775.92750275,249.9597336164232,1.128341225258355e-06
83,32776574.20287607,0.0004499259937565471,393.3946277819486,313053497.81625295,221.74049238184497,1.0446709390670211e-06
79,34033585.44850484,0.0003709887020247794,339.5315094118361,270190590.1448066,200.71297125676182,9.881271351593978e-07
61,35290372.15093576,0.0003097286309452453,294.98032316290767,234737882.6034511,182.71935392424018,9.396647112195274e-07
86,36547088.90761452,0.0002625190960885431,255.54681725392078,203357695.676218,165.904401287947,9.083969337468988e-07
80,37803084.53383012,0.00020994154062556114,220.7557219931361,175671821.7595872,150.2868368625057,8.295155865141688e-07
58,39060131.719757624,0.00017373333391688898,188.6276078526022,150105080.88505638,134.9334335582783,7.899819399486573e-07
70,40944812.899795495,0.00012320875816291773,152.82248650876028,121612270.65115517,117.489251952071,6.74469336070674e-07
84,42201588.6570449,0.00010721737016103306,134.79751356909625,107268452.9467321,108.55740719421249,6.547181279702669e-07
62,47228609.64949309,4.475890991078132e-05,63.584747162796695,50599134.05350491,66.37131536585088,5.00292640316897e-07
71,50370132.015772745,1.878778013460555e-05,32.805744224546174,26105981.76151742,45.1563045335585,3.2919258351993254e-07
63,56653189.71564387,3.89506898793496e-06,3.3559384348264145,2670570.9516215166,22.186470499002677,1.5623242704040925e-07
90,59794715.14611841,1.7200556488715106e-05,3.026324602753658,2408272.598372199,22.04248503604042,7.32933583453217e-07
